sepal_length,sepal_width,petal_length,petal_width,species_pred,Probablity
5.5,2.5,4.0,1.3,versicolor,0.9543800956008428
6.9,3.1,5.1,2.3,virginica,0.961251313008021
5.1,2.5,3.0,1.1,versicolor,0.9432865422573772
4.4,2.9,,0.2,setosa,0.476346260941567
5.9,3.0,5.1,1.8,virginica,0.7655545906651591
5.5,3.5,1.3,0.2,setosa,0.9573502307468538
5.6,,3.6,1.3,versicolor,0.9475135546528973
6.5,3.0,5.2,2.0,virginica,0.9416319544899179
5.3,3.7,1.5,0.2,setosa,0.962153361208815
5.1,3.4,1.5,,setosa,0.760692491643605
6.1,2.8,4.0,1.3,versicolor,0.973202024352899
5.5,2.4,3.7,1.0,versicolor,0.9738008151216402
7.7,3.0,6.1,2.3,virginica,0.9560700627530001
6.9,3.1,4.9,1.5,versicolor,0.7106612706070572
6.0,2.2,5.0,1.5,versicolor,0.5584087555163457
